Date,Type,Expense Category,Amount ($),Notes
46006,Expense,Facebook Ads,$657.02,Vacation booking
45989,Expense,Facebook Ads,$639.45,Groceries
45884,Expense,Facebook Ads,$35.78,Online purchase
45951,Expense,Facebook Ads,$997.18,Groceries
45374,Expense,Facebook Ads,"$2,275.32",Course fee
45461,Expense,Facebook Ads,$635.91,Utility bill
45804,Expense,Facebook Ads,"$1,647.92",Course fee
45892,Expense,Facebook Ads,"$1,836.16",Online purchase
45403,Expense,Facebook Ads,"$1,942.84",Medical visit
46125,Expense,Facebook Ads,$676.21,Family outing
46058,Expense,Facebook Ads,"$1,749.03",Monthly payment
45464,Expense,Facebook Ads,$8.94,Online purchase
46084,Expense,Facebook Ads,"$1,314.78",Utility bill
46042,Expense,Facebook Ads,$430.73,Medical visit
45482,Expense,Facebook Ads,$499.06,Office commute
45806,Expense,Facebook Ads,"$1,129.40",Family outing
45482,Expense,Facebook Ads,$152.16,Office commute
46120,Expense,Facebook Ads,$652.08,Course fee
45743,Expense,Facebook Ads,$277.44,Office commute
45373,Expense,Facebook Ads,$218.84,Online purchase
45575,Expense,Facebook Ads,$858.67,Groceries
45532,Expense,Facebook Ads,"$1,215.56",Online purchase
45301,Expense,Facebook Ads,$668.87,Monthly payment
45973,Expense,Facebook Ads,"$1,974.07",Monthly payment
45391,Expense,Facebook Ads,"$1,308.22",Monthly payment
45676,Expense,Facebook Ads,"$1,302.58",Utility bill
45789,Expense,Facebook Ads,"$1,893.49",Groceries
45731,Expense,Facebook Ads,$930.11,Medical visit
45614,Expense,Facebook Ads,"$2,352.77",Course fee
45679,Expense,Facebook Ads,$147.82,Medical visit
45630,Expense,Facebook Ads,$12.70,Course fee
46034,Expense,Facebook Ads,$69.07,Online purchase
45835,Expense,Facebook Ads,"$2,377.90",Family outing
45669,Expense,Facebook Ads,"$1,547.79",Vacation booking
45819,Expense,Facebook Ads,"$1,652.27",Monthly payment
45945,Expense,Facebook Ads,$46.49,Medical visit
45338,Expense,Facebook Ads,"$1,696.43",Family outing
45913,Expense,Facebook Ads,"$1,003.41",Groceries
46105,Expense,Facebook Ads,$874.09,Vacation booking
45966,Expense,Facebook Ads,"$1,837.02",Utility bill
45913,Expense,Facebook Ads,"$1,781.30",Streaming service
45877,Expense,Facebook Ads,$84.21,Vacation booking
46107,Expense,Facebook Ads,$756.86,Streaming service
45770,Expense,Facebook Ads,"$2,241.54",Online purchase
45785,Expense,Facebook Ads,$606.05,Family outing
45466,Expense,Facebook Ads,$268.15,Monthly payment
45456,Expense,Facebook Ads,"$2,257.11",Utility bill
45517,Expense,Facebook Ads,"$1,666.50",Online purchase
45973,Expense,Facebook Ads,"$2,307.23",Vacation booking
45384,Expense,Facebook Ads,"$2,180.49",Groceries
46076,Expense,Facebook Ads,$166.34,Medical visit
45678,Expense,Facebook Ads,"$1,636.53",Streaming service
46168,Expense,Facebook Ads,"$2,022.08",Family outing
45557,Expense,Facebook Ads,$730.99,Online purchase
45383,Expense,Facebook Ads,"$1,852.75",Family outing
46054,Expense,Facebook Ads,"$1,434.23",Office commute
46165,Expense,Facebook Ads,"$2,385.40",Groceries
46046,Expense,Facebook Ads,$780.44,Groceries
45840,Expense,Facebook Ads,"$2,118.56",Course fee
45619,Expense,Facebook Ads,"$1,994.81",Office commute
45824,Expense,Facebook Ads,"$1,478.99",Online purchase
45696,Expense,Facebook Ads,"$1,348.04",Vacation booking
45615,Expense,Facebook Ads,"$2,041.29",Utility bill
46149,Expense,Facebook Ads,"$1,252.08",Vacation booking
45442,Expense,Facebook Ads,$712.07,Monthly payment
45905,Expense,Facebook Ads,$775.68,Online purchase
45572,Expense,Facebook Ads,"$1,198.32",Family outing
45798,Expense,Facebook Ads,"$1,761.83",Course fee
45352,Expense,Facebook Ads,$385.99,Family outing
46160,Expense,Facebook Ads,"$1,752.52",Monthly payment
46086,Expense,Facebook Ads,"$2,142.66",Course fee
45598,Expense,Facebook Ads,"$2,477.70",Streaming service
45693,Expense,Facebook Ads,"$1,058.98",Vacation booking
45648,Expense,Facebook Ads,$980.70,Streaming service
46036,Expense,Facebook Ads,$709.50,Family outing
46009,Expense,Facebook Ads,$987.46,Office commute
45623,Expense,Facebook Ads,"$2,165.31",Monthly payment
46162,Expense,Facebook Ads,"$1,146.54",Office commute
45883,Expense,Facebook Ads,"$1,107.50",Vacation booking
45590,Expense,Facebook Ads,$528.37,Family outing
46044,Expense,Facebook Ads,$908.75,Groceries
45396,Expense,Facebook Ads,$944.51,Course fee
45987,Expense,Facebook Ads,"$2,315.33",Online purchase
45656,Expense,Facebook Ads,$453.18,Monthly payment
45412,Expense,Facebook Ads,"$1,626.99",Groceries
45736,Expense,Facebook Ads,"$1,569.30",Course fee
45542,Expense,Facebook Ads,$301.41,Course fee
45792,Expense,Facebook Ads,"$1,721.52",Office commute
45960,Expense,Facebook Ads,"$1,940.75",Online purchase
46088,Expense,Facebook Ads,"$2,162.91",Course fee
45573,Expense,Facebook Ads,$921.47,Online purchase
45411,Expense,Facebook Ads,$309.52,Streaming service
45522,Expense,Facebook Ads,"$1,469.19",Groceries
45783,Expense,Facebook Ads,"$1,735.85",Online purchase
46105,Expense,Facebook Ads,$456.84,Vacation booking
45952,Expense,Facebook Ads,$749.42,Office commute
45393,Expense,Facebook Ads,$163.43,Streaming service
45481,Expense,Facebook Ads,"$2,033.11",Monthly payment
45695,Expense,Facebook Ads,"$2,044.57",Streaming service
45792,Expense,Facebook Ads,"$1,299.66",Groceries
45843,Expense,Facebook Ads,"$1,885.00",Family outing
45966,Expense,Facebook Ads,$455.76,Groceries
46003,Expense,Facebook Ads,$18.28,Vacation booking
46111,Expense,Facebook Ads,$312.00,Office commute
45880,Expense,Facebook Ads,"$1,633.34",Online purchase
45867,Expense,Facebook Ads,"$2,129.37",Monthly payment
45378,Expense,Facebook Ads,"$1,267.84",Medical visit
45849,Expense,Facebook Ads,"$1,060.51",Monthly payment
45546,Expense,Facebook Ads,$120.18,Streaming service
46093,Expense,Facebook Ads,"$1,649.60",Vacation booking
45435,Expense,Facebook Ads,"$1,228.65",Medical visit
45827,Expense,Facebook Ads,"$1,517.40",Streaming service
45506,Expense,Facebook Ads,"$1,658.23",Monthly payment
45534,Expense,Facebook Ads,$474.24,Utility bill
46168,Expense,Facebook Ads,"$2,393.77",Groceries
45857,Expense,Facebook Ads,"$1,481.50",Utility bill
45423,Expense,Facebook Ads,"$1,057.93",Streaming service
45553,Expense,Facebook Ads,$957.55,Office commute
45701,Expense,Facebook Ads,$212.72,Utility bill
45984,Expense,Facebook Ads,"$2,350.80",Office commute
45840,Expense,Facebook Ads,$181.04,Utility bill
45940,Expense,Facebook Ads,"$1,787.54",Groceries
45965,Expense,Facebook Ads,"$1,514.34",Course fee
46133,Expense,Facebook Ads,$794.32,Course fee
45680,Expense,Facebook Ads,"$2,410.22",Family outing
45371,Expense,Facebook Ads,$315.93,Online purchase
45992,Expense,Facebook Ads,"$1,019.92",Medical visit
45947,Expense,Facebook Ads,$910.23,Medical visit
46088,Expense,Facebook Ads,$370.09,Family outing
45572,Expense,Facebook Ads,$249.38,Family outing
45679,Expense,Facebook Ads,"$1,957.92",Online purchase
45471,Expense,Facebook Ads,"$1,822.18",Utility bill
45894,Expense,Facebook Ads,$243.37,Medical visit
46009,Expense,Facebook Ads,"$2,164.17",Streaming service
45569,Expense,Facebook Ads,$252.17,Monthly payment
45466,Expense,Facebook Ads,"$2,366.54",Course fee
45477,Expense,Facebook Ads,"$2,016.18",Streaming service
45856,Expense,Facebook Ads,"$2,205.64",Course fee
45780,Expense,Facebook Ads,$323.29,Monthly payment
45995,Expense,Facebook Ads,"$1,784.49",Office commute
45438,Expense,Facebook Ads,"$1,421.06",Utility bill
45346,Expense,Facebook Ads,"$1,770.22",Family outing
45986,Expense,Facebook Ads,"$1,048.52",Vacation booking
45479,Expense,Facebook Ads,"$2,465.68",Vacation booking
45806,Expense,Facebook Ads,$693.18,Course fee
45825,Expense,Facebook Ads,$766.44,Online purchase
45604,Expense,Facebook Ads,"$1,927.59",Online purchase
45941,Expense,Facebook Ads,$196.35,Family outing
45387,Expense,Facebook Ads,"$1,440.42",Online purchase
46053,Expense,Facebook Ads,"$1,387.63",Vacation booking
46119,Expense,Facebook Ads,"$2,405.60",Course fee
45985,Expense,Facebook Ads,"$2,331.44",Office commute
45783,Expense,Facebook Ads,"$1,289.95",Streaming service
46006,Expense,Facebook Ads,"$1,016.65",Groceries
45486,Expense,Facebook Ads,"$1,786.83",Streaming service
46059,Expense,Shipping Fees,$614.34,Streaming service
45992,Expense,Shipping Fees,$110.68,Vacation booking
45464,Expense,Shipping Fees,"$2,259.98",Office commute
45368,Expense,Shipping Fees,"$2,099.33",Streaming service
45653,Expense,Shipping Fees,"$1,059.69",Course fee
45466,Expense,Shipping Fees,"$2,424.47",Medical visit
45987,Expense,Shipping Fees,"$2,080.16",Online purchase
45589,Expense,Shipping Fees,"$1,210.40",Utility bill
45510,Expense,Shipping Fees,"$1,846.37",Groceries
45695,Expense,Shipping Fees,"$2,308.03",Streaming service
46137,Expense,Shipping Fees,"$2,338.86",Groceries
46160,Expense,Shipping Fees,$148.45,Monthly payment
45922,Expense,Shipping Fees,$824.74,Medical visit
45401,Expense,Shipping Fees,$877.56,Office commute
45703,Expense,Shipping Fees,$27.12,Course fee
45795,Expense,Shipping Fees,$216.44,Streaming service
45449,Expense,Shipping Fees,$313.99,Vacation booking
45299,Expense,Shipping Fees,"$1,924.77",Utility bill
45523,Expense,Shipping Fees,$991.42,Utility bill
45665,Expense,Shipping Fees,"$2,231.02",Streaming service
46123,Expense,Shipping Fees,$276.19,Vacation booking
45964,Expense,Shipping Fees,$408.78,Medical visit
46057,Expense,Shipping Fees,$19.50,Family outing
45405,Expense,Shipping Fees,$715.82,Office commute
45696,Expense,Shipping Fees,"$1,861.09",Monthly payment
45456,Expense,Shipping Fees,"$2,371.20",Utility bill
45413,Expense,Shipping Fees,"$1,225.22",Vacation booking
46111,Expense,Shipping Fees,$815.59,Course fee
45805,Expense,Shipping Fees,$332.89,Online purchase
46103,Expense,Shipping Fees,$319.68,Medical visit
45804,Expense,Shipping Fees,"$1,919.63",Family outing
45345,Expense,Shipping Fees,"$1,077.01",Groceries
46047,Expense,Shipping Fees,"$1,088.65",Utility bill
45580,Expense,Shipping Fees,$211.12,Course fee
45545,Expense,Shipping Fees,$385.48,Streaming service
45483,Expense,Shipping Fees,$706.44,Online purchase
45561,Expense,Shipping Fees,"$1,667.49",Course fee
45495,Expense,Shipping Fees,"$1,767.62",Online purchase
46009,Expense,Shipping Fees,"$1,529.70",Family outing
46167,Expense,Shipping Fees,"$1,574.13",Office commute
45526,Expense,Shipping Fees,$335.08,Monthly payment
45572,Expense,Shipping Fees,"$2,323.10",Course fee
45310,Expense,Shipping Fees,$503.11,Monthly payment
45681,Expense,Shipping Fees,"$1,314.80",Family outing
45519,Expense,Shipping Fees,"$1,068.06",Monthly payment
45814,Expense,Shipping Fees,"$1,611.46",Utility bill
45404,Expense,Shipping Fees,$912.12,Medical visit
46020,Expense,Shipping Fees,$621.19,Monthly payment
45478,Expense,Shipping Fees,$6.34,Medical visit
45509,Expense,Shipping Fees,"$1,182.79",Groceries
45395,Expense,Shipping Fees,$466.18,Vacation booking
45664,Expense,Shipping Fees,$764.37,Online purchase
45977,Expense,Shipping Fees,"$1,708.99",Office commute
45631,Expense,Shipping Fees,"$1,854.52",Medical visit
46052,Expense,Shipping Fees,"$1,324.51",Medical visit
45535,Expense,Shipping Fees,$529.03,Course fee
45381,Expense,Shipping Fees,$330.56,Groceries
45415,Expense,Shipping Fees,"$1,468.47",Family outing
45489,Expense,Shipping Fees,"$2,314.12",Online purchase
45851,Expense,Shipping Fees,$860.53,Vacation booking
46071,Expense,Shipping Fees,"$1,336.23",Office commute
45336,Expense,Shipping Fees,$483.31,Streaming service
46020,Expense,Shipping Fees,"$2,229.51",Streaming service
45647,Expense,Shipping Fees,"$1,123.96",Online purchase
45738,Expense,Shipping Fees,"$1,209.64",Streaming service
45807,Expense,Shipping Fees,$421.50,Utility bill
46005,Expense,Shipping Fees,$727.69,Groceries
45354,Expense,Shipping Fees,"$1,853.08",Course fee
45798,Expense,Shipping Fees,"$2,176.29",Online purchase
45461,Expense,Shipping Fees,"$1,878.07",Course fee
45867,Expense,Shipping Fees,"$1,005.12",Utility bill
45503,Expense,Shipping Fees,$13.98,Groceries
45515,Expense,Shipping Fees,"$1,743.32",Streaming service
45758,Expense,Shipping Fees,"$1,770.85",Streaming service
45557,Expense,Shipping Fees,"$2,131.93",Utility bill
46017,Expense,Shipping Fees,"$1,382.62",Office commute
45521,Expense,Shipping Fees,"$1,336.25",Utility bill
45332,Expense,Shipping Fees,"$2,355.40",Utility bill
45428,Expense,Shipping Fees,"$2,184.09",Monthly payment
45949,Expense,Shipping Fees,"$2,473.89",Family outing
45839,Expense,Shipping Fees,$8.49,Medical visit
45939,Expense,Shipping Fees,"$2,430.69",Medical visit
45377,Expense,Shipping Fees,$663.78,Office commute
45710,Expense,Shipping Fees,$740.76,Monthly payment
45932,Expense,Shipping Fees,"$2,060.71",Family outing
46040,Expense,Shipping Fees,$445.95,Monthly payment
45842,Expense,Shipping Fees,$270.57,Course fee
45961,Expense,Shipping Fees,"$2,175.71",Groceries
45856,Expense,Shipping Fees,"$2,043.03",Family outing
45624,Expense,Shipping Fees,$513.78,Course fee
45451,Expense,Shipping Fees,$583.15,Course fee
45669,Expense,Shipping Fees,"$2,255.91",Online purchase
45799,Expense,Shipping Fees,"$1,151.18",Office commute
45485,Expense,Shipping Fees,"$1,228.84",Office commute
45955,Expense,Shipping Fees,$57.51,Office commute
45473,Expense,Shipping Fees,"$1,719.98",Family outing
45363,Expense,Shipping Fees,$184.76,Family outing
45757,Expense,Shipping Fees,$255.08,Streaming service
45432,Expense,Shipping Fees,"$1,510.22",Course fee
45685,Expense,Shipping Fees,$279.54,Monthly payment
46073,Expense,Shipping Fees,$334.79,Online purchase
45566,Expense,Shipping Fees,"$2,346.80",Groceries
45305,Expense,Shipping Fees,"$2,394.26",Online purchase
45847,Expense,Shipping Fees,"$2,132.54",Online purchase
45499,Expense,Shipping Fees,"$1,203.66",Groceries
45746,Expense,Shipping Fees,$771.93,Vacation booking
45450,Expense,Shipping Fees,$144.41,Utility bill
45934,Expense,Shipping Fees,$312.07,Monthly payment
45397,Expense,Shipping Fees,$745.36,Streaming service
46148,Expense,Shipping Fees,$358.88,Family outing
45316,Expense,Shipping Fees,"$1,070.70",Office commute
45653,Expense,Shipping Fees,$568.58,Course fee
45995,Expense,Shipping Fees,"$1,232.09",Online purchase
45521,Expense,Shipping Fees,"$2,391.38",Utility bill
45657,Expense,Shipping Fees,"$1,541.16",Online purchase
45661,Expense,Shipping Fees,"$2,239.49",Groceries
45446,Expense,Shipping Fees,"$1,074.43",Medical visit
45906,Expense,Shipping Fees,"$1,700.19",Office commute
45975,Expense,Shipping Fees,"$1,563.77",Utility bill
45648,Expense,Shipping Fees,$681.38,Vacation booking
45969,Expense,Shipping Fees,"$2,332.54",Online purchase
46099,Expense,Shipping Fees,"$2,154.98",Office commute
46088,Expense,Shipping Fees,$804.04,Course fee
45749,Expense,Shipping Fees,"$2,037.55",Online purchase
45883,Expense,Shipping Fees,"$2,399.17",Utility bill
45440,Expense,Shipping Fees,$811.02,Office commute
45478,Expense,Shipping Fees,$884.76,Vacation booking
45726,Expense,Shipping Fees,"$1,735.08",Course fee
45908,Expense,Shipping Fees,$349.86,Family outing
45684,Expense,Shipping Fees,"$1,375.60",Streaming service
45838,Expense,Shipping Fees,"$1,333.52",Family outing
45685,Expense,Shipping Fees,"$1,454.51",Course fee
45831,Expense,Shipping Fees,"$1,942.60",Family outing
46011,Expense,Shipping Fees,$591.81,Monthly payment
45500,Expense,Shipping Fees,$909.18,Vacation booking
45428,Expense,Shipping Fees,$153.65,Medical visit
45661,Expense,Shipping Fees,$740.27,Office commute
46147,Expense,Shipping Fees,"$2,429.69",Course fee
45540,Expense,Shipping Fees,"$2,070.42",Monthly payment
46056,Expense,Shipping Fees,$297.50,Office commute
45678,Expense,Shipping Fees,"$1,741.83",Course fee
45672,Expense,Shipping Fees,"$1,755.00",Groceries
45367,Expense,Shipping Fees,"$2,094.41",Office commute
45322,Expense,Shipping Fees,$916.28,Online purchase
45542,Expense,Shipping Fees,$36.13,Course fee
45445,Expense,Shipping Fees,"$1,177.06",Office commute
46058,Expense,Shipping Fees,"$1,747.92",Utility bill
45773,Expense,Shipping Fees,"$1,807.78",Vacation booking
46092,Expense,Shipping Fees,$720.49,Office commute
45353,Expense,Shipping Fees,"$1,512.41",Office commute
45807,Expense,Shipping Fees,$32.11,Course fee
45988,Expense,Shipping Fees,"$1,387.62",Utility bill
45877,Expense,Shipping Fees,$768.55,Family outing
45725,Expense,Shipping Fees,$683.21,Online purchase
45826,Expense,Shipping Fees,"$2,444.93",Office commute
46052,Expense,Shipping Fees,"$1,004.00",Monthly payment
45516,Expense,Shipping Fees,$463.32,Streaming service
45911,Expense,Shipping Fees,"$2,042.31",Vacation booking
45780,Expense,Shipping Fees,"$1,633.49",Course fee
46139,Expense,Shipping Fees,$416.24,Medical visit
45954,Expense,Shipping Fees,$490.85,Online purchase
45398,Expense,Shipping Fees,$909.94,Medical visit
45320,Expense,Shipping Fees,$709.11,Streaming service
45401,Expense,Shipping Fees,$533.72,Monthly payment
46066,Expense,Shipping Fees,$473.42,Family outing
45945,Expense,Shipping Fees,$604.64,Online purchase
45875,Expense,Shipping Fees,$116.96,Vacation booking
45338,Expense,Shipping Fees,$789.88,Utility bill
45300,Expense,Shipping Fees,"$1,880.44",Course fee
45804,Expense,Shipping Fees,$789.61,Course fee
46035,Expense,Shipping Fees,"$2,434.76",Online purchase
45631,Expense,Shipping Fees,"$2,241.80",Streaming service
45395,Expense,Shipping Fees,"$2,019.70",Office commute
45316,Expense,Shipping Fees,"$1,991.19",Vacation booking
45892,Expense,Shipping Fees,$728.85,Office commute
45990,Expense,Shipping Fees,$201.49,Online purchase
46027,Expense,Shipping Fees,"$2,211.58",Office commute
46079,Expense,Shipping Fees,"$2,483.57",Streaming service
45820,Expense,Shipping Fees,"$1,630.23",Medical visit
45750,Expense,Shipping Fees,$850.86,Medical visit
45930,Expense,Shipping Fees,$104.83,Course fee
45536,Expense,Shipping Fees,"$2,492.54",Groceries
45368,Expense,Shipping Fees,"$1,419.42",Vacation booking
45391,Expense,Shipping Fees,$360.84,Utility bill
45852,Expense,Shipping Fees,"$1,249.79",Vacation booking
45613,Expense,Shipping Fees,"$2,335.47",Office commute
45361,Expense,Shipping Fees,"$1,443.40",Medical visit
45383,Expense,Shipping Fees,$452.07,Vacation booking
45556,Expense,Shipping Fees,"$2,446.32",Vacation booking
45957,Expense,Shipping Fees,"$2,349.87",Groceries
45791,Expense,Shipping Fees,$911.86,Utility bill
45702,Expense,Shipping Fees,"$2,143.22",Office commute
45743,Expense,Shipping Fees,"$1,283.64",Groceries
45613,Expense,Shipping Fees,$213.31,Course fee
45810,Expense,Shipping Fees,$660.75,Monthly payment
9/27/2025,Expense,Shipping Fees,"$1,853.90",Family outing
12/17/2025,Expense,Shipping Fees,$24.82,Online purchase
10/24/2024,Expense,Shipping Fees,$399.72,Course fee
5/24/2026,Expense,Shipping Fees,$561.51,Vacation booking
11/16/2025,Expense,Shipping Fees,$875.60,Vacation booking
10/19/2025,Expense,Shipping Fees,"$2,250.82",Vacation booking
4/21/2024,Expense,Shipping Fees,$454.78,Online purchase
2/10/2025,Expense,Shipping Fees,$502.68,Medical visit
3/7/2024,Expense,Shipping Fees,$859.35,Groceries
5/12/2025,Expense,Shipping Fees,"$1,757.22",Vacation booking
4/27/2024,Expense,Shipping Fees,"$1,139.17",Streaming service
6/8/2024,Expense,Shipping Fees,$368.06,Family outing
11/23/2024,Expense,Shipping Fees,$83.15,Groceries
3/3/2026,Expense,Shipping Fees,$160.69,Medical visit
3/19/2026,Expense,Shipping Fees,"$2,446.51",Family outing
2/25/2024,Expense,Shipping Fees,"$2,170.71",Course fee
10/3/2024,Expense,Shipping Fees,"$1,591.04",Online purchase
5/25/2024,Expense,Shipping Fees,$688.39,Online purchase
11/1/2024,Expense,Shipping Fees,"$2,178.87",Streaming service
8/7/2024,Expense,Shipping Fees,$464.28,Monthly payment
4/4/2024,Expense,Shipping Fees,$858.34,Utility bill
6/17/2024,Expense,Shipping Fees,$876.44,Course fee
5/8/2025,Expense,Shipping Fees,"$1,341.09",Office commute
12/14/2025,Expense,Shipping Fees,$889.96,Groceries
2/2/2025,Expense,Shipping Fees,"$1,404.47",Groceries
7/22/2024,Expense,Shipping Fees,"$1,808.20",Groceries
9/23/2025,Expense,Shipping Fees,$812.71,Medical visit
1/15/2024,Expense,Shipping Fees,"$2,241.77",Office commute
5/26/2025,Expense,Shipping Fees,$288.45,Course fee
9/26/2024,Expense,Shipping Fees,"$1,807.10",Vacation booking
5/2/2026,Expense,Shipping Fees,"$1,587.56",Groceries
4/9/2024,Expense,Shipping Fees,$550.46,Family outing
3/6/2025,Expense,Shipping Fees,"$1,937.09",Groceries
1/21/2025,Expense,Shipping Fees,$873.47,Family outing
11/26/2025,Expense,Shipping Fees,"$2,387.99",Medical visit
4/13/2026,Expense,Shipping Fees,$45.40,Utility bill
5/29/2025,Expense,Shipping Fees,"$1,749.80",Vacation booking
2/27/2025,Expense,Shipping Fees,$882.56,Streaming service
3/12/2025,Expense,Shipping Fees,"$2,435.31",Medical visit
4/26/2024,Expense,Shipping Fees,"$1,149.76",Medical visit
6/30/2024,Expense,Shipping Fees,"$1,489.26",Streaming service
3/22/2025,Expense,Shipping Fees,$716.14,Course fee
10/11/2025,Expense,Shipping Fees,"$1,756.72",Online purchase
3/30/2024,Expense,Shipping Fees,$228.65,Monthly payment
9/23/2025,Expense,Shipping Fees,$263.67,Groceries
7/11/2025,Expense,Shipping Fees,"$1,585.65",Streaming service
8/18/2025,Expense,Shipping Fees,"$1,670.94",Course fee
8/4/2024,Expense,Shipping Fees,"$1,943.32",Streaming service
1/25/2025,Expense,Shipping Fees,$492.92,Vacation booking
5/7/2024,Expense,Shipping Fees,"$2,419.20",Vacation booking
2/26/2025,Expense,Shipping Fees,$23.97,Medical visit
3/11/2026,Expense,Shipping Fees,"$1,271.36",Utility bill
11/5/2025,Expense,Shipping Fees,$771.95,Course fee
11/20/2025,Expense,Shipping Fees,$15.37,Course fee
2/3/2024,Expense,Shipping Fees,$70.49,Medical visit
5/10/2026,Expense,Shipping Fees,"$2,050.99",Groceries
11/21/2024,Expense,Shipping Fees,$430.17,Groceries
3/16/2025,Expense,Shipping Fees,"$1,391.57",Course fee
7/16/2024,Expense,Shipping Fees,"$1,612.86",Monthly payment
3/31/2026,Expense,Shipping Fees,"$1,075.61",Course fee
1/15/2026,Expense,Shipping Fees,"$1,010.78",Medical visit
6/13/2025,Expense,Shipping Fees,"$1,096.32",Online purchase
12/28/2025,Expense,Shipping Fees,"$1,263.12",Groceries
3/14/2026,Expense,Shipping Fees,"$2,108.36",Utility bill
5/7/2026,Expense,Shipping Fees,$401.84,Medical visit
7/27/2024,Expense,Shipping Fees,$237.70,Course fee
1/12/2024,Expense,Shipping Fees,$386.86,Groceries
12/25/2025,Expense,Shipping Fees,"$2,301.88",Online purchase
8/8/2025,Expense,Shipping Fees,$68.10,Office commute
4/9/2025,Expense,Shipping Fees,$470.46,Family outing
10/31/2024,Expense,Shipping Fees,"$1,340.87",Family outing
1/13/2026,Expense,Shipping Fees,"$1,927.13",Monthly payment
10/8/2024,Expense,Shipping Fees,"$2,337.76",Monthly payment
10/15/2025,Expense,Shipping Fees,"$2,168.01",Online purchase
4/15/2025,Expense,Shipping Fees,$311.10,Office commute
10/16/2024,Expense,Shipping Fees,"$2,237.04",Online purchase
3/20/2024,Expense,Shipping Fees,"$2,112.34",Family outing
2/4/2025,Expense,Shipping Fees,"$1,230.14",Monthly payment
2/27/2025,Expense,Shipping Fees,"$1,218.86",Online purchase
8/3/2024,Expense,Shipping Fees,$941.26,Medical visit
10/10/2025,Expense,Shipping Fees,"$2,022.33",Office commute
11/1/2024,Expense,Shipping Fees,"$2,259.58",Groceries
10/8/2025,Expense,Shipping Fees,"$2,137.75",Online purchase
12/17/2024,Expense,Shipping Fees,"$1,212.36",Groceries
9/6/2025,Expense,Shipping Fees,$17.51,Streaming service
1/29/2026,Expense,Shipping Fees,"$2,316.83",Family outing
9/12/2025,Expense,Shipping Fees,"$1,342.21",Streaming service
6/8/2025,Expense,Shipping Fees,$544.68,Medical visit
4/27/2024,Expense,Shipping Fees,$78.60,Office commute
8/13/2024,Expense,Shipping Fees,"$1,820.72",Office commute
10/1/2024,Expense,Shipping Fees,"$1,206.53",Online purchase
12/22/2024,Expense,Shipping Fees,"$1,631.55",Vacation booking
2/2/2026,Expense,Shipping Fees,"$1,092.97",Course fee
7/16/2024,Expense,Shipping Fees,$436.53,Utility bill
2/6/2025,Expense,Shipping Fees,"$1,461.20",Groceries
11/15/2024,Expense,Shipping Fees,"$1,986.28",Vacation booking
3/19/2025,Expense,Shipping Fees,"$1,062.22",Utility bill
4/15/2026,Expense,Shipping Fees,"$1,559.16",Groceries
1/27/2025,Expense,Shipping Fees,$503.30,Medical visit
1/17/2025,Expense,Shipping Fees,"$1,126.26",Monthly payment
6/7/2025,Expense,Shipping Fees,"$1,469.24",Utility bill
9/10/2025,Expense,Shipping Fees,$883.87,Monthly payment
4/27/2024,Expense,Shipping Fees,"$2,023.56",Course fee
3/20/2026,Expense,Shipping Fees,$897.57,Online purchase
8/8/2024,Expense,Shipping Fees,$933.05,Medical visit
5/5/2024,Expense,Shipping Fees,$799.88,Monthly payment
1/4/2026,Expense,Shipping Fees,$538.36,Groceries
3/25/2026,Expense,Shipping Fees,"$2,247.37",Streaming service
3/8/2024,Expense,Shipping Fees,$712.62,Family outing
6/23/2025,Expense,Shipping Fees,$261.79,Utility bill
1/3/2026,Expense,Shipping Fees,"$2,365.95",Online purchase
8/10/2025,Expense,Shipping Fees,"$1,706.92",Course fee
11/21/2024,Expense,Shipping Fees,$499.39,Monthly payment
4/1/2026,Expense,Shipping Fees,"$1,249.13",Utility bill
3/7/2025,Expense,Shipping Fees,$314.61,Office commute
9/7/2025,Expense,Shipping Fees,"$1,479.97",Family outing
8/13/2025,Expense,Shipping Fees,$716.17,Groceries
1/5/2024,Expense,Shipping Fees,$714.49,Course fee
2/7/2024,Expense,Shipping Fees,"$2,295.50",Monthly payment
12/11/2024,Expense,Shipping Fees,$178.29,Online purchase
4/29/2026,Expense,Shipping Fees,"$1,809.52",Utility bill
11/20/2024,Expense,Shipping Fees,"$1,003.86",Streaming service
3/4/2026,Expense,Shipping Fees,"$1,237.08",Monthly payment
2/6/2025,Expense,Shipping Fees,"$1,742.66",Vacation booking
5/20/2025,Expense,Shipping Fees,"$2,108.47",Groceries
4/15/2024,Expense,Shipping Fees,$563.92,Monthly payment
5/22/2024,Expense,Shipping Fees,"$2,483.88",Course fee
8/19/2024,Expense,Shipping Fees,$224.60,Medical visit
4/15/2026,Expense,Shipping Fees,"$2,473.96",Monthly payment
9/22/2024,Expense,Shipping Fees,$281.45,Utility bill
3/17/2024,Expense,Shipping Fees,$826.68,Groceries
3/21/2026,Expense,Shipping Fees,$678.43,Office commute
5/21/2024,Expense,Shipping Fees,"$1,154.43",Office commute
11/22/2024,Expense,Shipping Fees,"$1,883.82",Course fee
10/14/2025,Expense,Shipping Fees,"$1,672.25",Streaming service
6/24/2025,Expense,Shipping Fees,"$1,446.82",Vacation booking
10/14/2024,Expense,Shipping Fees,"$1,932.75",Vacation booking
8/19/2024,Expense,Shipping Fees,$663.21,Utility bill
